game,team,difficulty,formation,lineup,lineup_numbers
Besiktas vs. Trabzonspor - Friday August 10 - 2001,Besiktas,easy,3-5-2,TUNCAY;GURACAR;BOZKURT;YILDIRIM;UZULMEZ;SULUN;BAYA;BEKTAS;KAHVECI;MANSIZ;DURSUN,22;18;14;4;19;28;7;11;8;26;10
Besiktas vs. Trabzonspor - Friday August 10 - 2001,Trabzonspor,easy,4-4-2,AKTAS;SOMERS;BECEREN;GUVEN;SALAZAR;OZGUR;JARRO;MEHMET AURELIO;KARADENIZ;DEMIRAY;BIULA,1;8;34;3;2;11;13;15;61;37;17
Fenerbahce vs. Samsunspor - Saturday August 11 - 2001,Fenerbahce,easy,3-5-2,RECBER;OZAT;TEMIZKANOGLU;MIRKOVIC;ERCAN;SIMSEK;JOHNSON;REVIVO;LAZETIC;AKIN;RAPAIC,1;16;3;6;18;20;28;10;17;9;8
Fenerbahce vs. Samsunspor - Saturday August 11 - 2001,Samsunspor,hard,3-5-2,BOUKAR;KARABABA;KOLOGLU;YELEK;SAGIR;CAN;DOKME;NAS;KORKMAZ;YILMAZ;SAGLAM,12;23;5;34;55;99;15;24;7;10;6
Genclerbirligi vs. Diyarbakirspor - Saturday August 11 - 2001,Diyarbakirspor,hard,4-4-2,TEKELIOGLU;YOUSSEF;ZAFER;DEMIRHAN;DUMAN;KOCAK;KOLGU;YUCETAS;ALACAYIR;ULUSAL;KONA,34;21;5;29;51;99;11;6;7;8;24
Genclerbirligi vs. Diyarbakirspor - Saturday August 11 - 2001,Genclerbirligi,hard,4-4-2,NYS;DAEMS;DOGANTEZ;CAKMAK;GULDUREN;DASGUN;ZDEBEL;BASTURK;MBAYO;SALGIN;YOULA,1;20;4;7;3;13;8;10;14;51;11
Goztepe vs. Bursaspor - Saturday August 11 - 2001,Bursaspor,hard,3-5-2,KARAGOL;OZBEY;BOUAZIZI;KILIC;HACIOGLU;SEN;SEVEN;MOSHOEU;ALKAN;SOZKESEN;YILMAZ,18;6;13;17;53;11;4;1;20;21;10
Goztepe vs. Bursaspor - Saturday August 11 - 2001,Goztepe,hard,3-5-2,MAJDAN;GUSAR;ARAYICI;KOK;YUNGUL;ONUR;DIYADIN;BOZACI;OZKAN;MARTIN;KABAT,33;41;99;19;8;46;6;53;11;28;22
Rizespor vs. Kocaelispor - Saturday August 11 - 2001,Kocaelispor,hard,4-4-2,SAHIN;TIMKO;COLAK;YIGIT;BARIS;SARMAN;HASPOLATLI;ABDELAZIZ;OZTONGA;ALEKSANDROV;LAZAROV,
Rizespor vs. Kocaelispor - Saturday August 11 - 2001,Rizespor,hard,4-4-2,HAMIDOU;DUYMUS;BILGE;ASIL;AVCI;ALPUGAN;AYHAN;KAZMAZ;OZDEMIR;TETTEH;OZTURK,
Antalyaspor vs. Ankaragucu - Sunday August 12 - 2001,Ankaragucu,hard,4-4-2,DA SILVA;DURSUN;KUTLU;TASDEMIR;NAMDAR;GUNEY;PACHOLA;OZLEM;KELES;KENNEDY;AHINFUL,1;2;4;76;39;12;6;5;10;18;15
Antalyaspor vs. Ankaragucu - Sunday August 12 - 2001,Antalyaspor,hard,3-5-2,KARAHAN;SAATCIOGLU;GINCHEV;KAMBUROGLU;OZALP;CAKIR;YASAN;SEZER;GURSEL;BLESSIN;KINALI,1;5;23;74;3;6;7;45;39;9;61
Denizlispor vs. Yimpas Yozgatspor - Sunday August 12 - 2001,Denizlispor,hard,3-5-2,SOULAMA;CIMEN;KAFKAS;EL SAKA;BAYAZIT;AHMED HASSAN;KARTOP;BILAZER;TANDOGAN;ATLI;BIRDAL,33;3;19;4;7;17;6;10;22;18;11
Denizlispor vs. Yimpas Yozgatspor - Sunday August 12 - 2001,Yimpas Yozgatspor,hard,3-5-2,DIALLO;ARSLAN;OZER;BARIS;KARACA;KAHRAMAN;HINCAL;DALCICEK;OZER;PREKO;KOCABEY,1;4;16;45;6;5;7;66;56;17;10
Gaziantepspor vs. Galatasaray - Sunday August 12 - 2001,Galatasaray,easy,4-4-2,MONDRAGON;UNSAL;KORKMAZ;POPESCU;CAPONE;PENBE;KAYA;YALCIN;DAVALA;GOKTAN;ERDEM,1;57;3;4;35;67;8;13;22;7;6
Gaziantepspor vs. Galatasaray - Sunday August 12 - 2001,Gaziantepspor,hard,4-4-2,CATKIC;BEKIROGLU;KORKMAZ;POLAT;TUNC;ROMASHCHENKO;BATISTA;BOLUKBASI;ASLAN;OZER;TEKKE,1;11;3;27;5;22;18;77;7;56;61
Istanbulspor vs. Malatyaspor - Sunday August 12 - 2001,Istanbulspor,hard,4-4-2,ZDRAVKOV;PETKOV;AKBAS;GUR;HUSEYINOGLU;ERDOGAN;SAIDOU;SAHIN;YAVAS;ZUBANOVIC;BUSHI,1;6;98;45;52;33;20;21;9;7;8
Istanbulspor vs. Malatyaspor - Sunday August 12 - 2001,Malatyaspor,hard,3-5-2,POLAT;GUNDOSTU;CAY;PALANCI;DEGE;OZGUR;YILDIRIMKAYA;KULAKSIZ;GUNDOGDU;KOVACEVIC;ULUSOY,12;54;4;5;55;34;8;53;27;18;9
Bursaspor vs. Besiktas - Friday August 17 - 2001,Besiktas,easy,3-5-2,KJAER;GURACAR;RONALDO GUIARO;YILDIRIM;UZULMEZ;BAYA;VEIT;METIN;HAVUTCU;MANSIZ;KAHVECI,1;18;5;4;19;7;6;20;3;26;8
Bursaspor vs. Besiktas - Friday August 17 - 2001,Bursaspor,hard,4-4-2,KARAGOL;HACIOGLU;SEVEN;BOUAZIZI;KILIC;SEN;ER;MOSHOEU;ALKAN;SOZKESEN;YILMAZ,18;53;4;13;17;11;14;1;20;21;10
Diyarbakirspor vs. Goztepe - Saturday August 18 - 2001,Diyarbakirspor,hard,4-4-2,TEKELIOGLU;YOUSSEF;ZAFER;DEMIRHAN;DUMAN;KOCAK;KOLGU;YUCETAS;ALACAYIR;ULUSAL;KONA,34;21;5;29;51;99;11;6;7;8;24
Diyarbakirspor vs. Goztepe - Saturday August 18 - 2001,Goztepe,hard,4-4-2,MAJDAN;BOZACI;ARAYICI;GUSAR;KOK;YUNGUL;ONUR;DIYADIN;OZKAN;KABAT;BIRYOL,33;53;99;41;19;8;46;6;11;22;15
Galatasaray vs. Denizlispor - Saturday August 18 - 2001,Denizlispor,hard,3-5-2,SOULAMA;EL SAKA;KAFKAS;CIMEN;BAYAZIT;BILAZER;AHMED HASSAN;KARTOP;TANDOGAN;ATLI;BIRDAL,33;4;19;3;7;10;17;6;22;18;11
Galatasaray vs. Denizlispor - Saturday August 18 - 2001,Galatasaray,easy,4-2-3-1,MONDRAGON;VICTORIA;ASIK;KORKMAZ;CAPONE;AKIN;PENBE;GOKTAN;YALCIN;SAS;ERDEM,1;14;5;3;35;12;67;7;13;11;6
Genclerbirligi vs. Samsunspor - Saturday August 18 - 2001,Genclerbirligi,hard,4-4-2,NYS;DAEMS;DOGANTEZ;GULDUREN;CAKMAK;DASGUN;ZDEBEL;BASTURK;MBAYO;SALGIN;YOULA,1;20;4;3;7;13;8;10;14;51;11
Genclerbirligi vs. Samsunspor - Saturday August 18 - 2001,Samsunspor,hard,3-5-2,BOUKAR;KARABABA;KOLOGLU;YELEK;DOKME;BAIDOO;NAS;CAN;KORKMAZ;YILMAZ;SAGIR,12;23;5;34;15;8;24;99;7;10;55
