game,team,difficulty,formation,lineup,lineup_numbers,lineup_goals,lineup_assists,lineup_cards,lineup_substitutions,source_match_id
Genclerbirligi vs. Fenerbahce - Friday August 5 - 2005,Fenerbahce,easy,4-2-3-1,DEMIREL;OZAT;LUCIANO;TURACI;BARIS;MEHMET AURELIO;APPIAH;SANLI;ALEX;BALCI;NOBRE,1;5;2;19;24;15;4;10;20;30;11,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;1;1;0;0;0;0;0,0;0;0;0;1;0;1;0;0;0;0,34793
Genclerbirligi vs. Fenerbahce - Friday August 5 - 2005,Genclerbirligi,hard,4-4-2,CATKIC;GULDUREN;RISP;UGUR;GUVEN;BORAL;YESILKAYA;ABDELAZIZ;CAKIR;ESER;PROMISE,1;2;3;18;44;20;5;12;8;11;14,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;1;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;1;0,34793
Diyarbakirspor vs. Rizespor - Saturday August 6 - 2005,Diyarbakirspor,hard,4-4-2,YIGITER;DEMIRCIOGLU;SEDLOSKI;TOPRAK;AKINCI;KAHRAMAN;BOZACI;JUPI;GTARI;BIRLIK;YANIK,21;61;4;3;77;10;53;8;93;7;13,0;0;0;0;0;1;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;1;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;1;1;1;0,34795
Diyarbakirspor vs. Rizespor - Saturday August 6 - 2005,Rizespor,hard,4-4-2,ZDRAVKOV;UNSAL;CAKMAK;POLAT;EL TABEI;BAKI;TATAN;ALPUGAN;OZDEMIR;OZTURK;KABA,1;54;5;4;15;7;3;74;11;9;54,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;1;0;0;0;0;0;0;0,0;1;0;0;0;1;0;0;0;0;0,34795
Kayseri Erciyesspor vs. Besiktas - Saturday August 6 - 2005,Besiktas,easy,4-4-2,CORDOBA;UZULMEZ;TORAMAN;DUYMUS;TANDOGAN;PANCU;HAVUTCU;AVCI;BURUK;DURSUN;YOULA,35;19;58;49;22;1;3;41;7;60;25,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;1;0;0;1;1;0;0,0;0;0;0;0;1;1;0;0;1;0,34794
Kayseri Erciyesspor vs. Besiktas - Saturday August 6 - 2005,Kayseri Erciyesspor,hard,4-4-2,FADHEL;ATES;YILDIRIM;BOUAZIZI;AKYUZ;BAYAZIT;AYHAN;TORAMAN;KOZEN;AGALI;ISLER,1;3;58;13;38;10;72;5;7;22;21,0;0;0;0;0;0;0;0;0;0;1,0;0;0;0;0;0;0;0;0;1;0,0;1;0;0;0;1;0;0;0;0;0,0;0;1;0;0;0;1;0;1;0;0,34794
Sivasspor vs. Malatyaspor - Saturday August 6 - 2005,Malatyaspor,hard,4-4-2,TUNCAY;AYDIN;ERDOGAN;KORKMAZ;ASLANTAS;KISA;KARGBO;TOTH;OZKAN;YILMAZ;CATATAU,48;34;3;44;61;19;15;26;11;10;30,0;0;0;1;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;1;0;1;0;0;0;0;0;0;0,0;0;0;0;1;1;0;1;0;0;0,34796
Sivasspor vs. Malatyaspor - Saturday August 6 - 2005,Sivasspor,hard,4-4-2,PETKOVIC;YERLIKAYA;HOCAOGLU;FRANSERGIO;DUMAN;KARACA;BAYRAKTAR;PEKEN;KUS;BOZKAYA;ANDERSON,1;58;4;30;51;20;6;61;36;11;7,0;0;1;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;1;0;0,0;0;0;0;0;1;1;0;0;1;0,34796
Trabzonspor vs. Kayserispor - Saturday August 6 - 2005,Kayserispor,hard,4-5-1,AKTAS;TEBER;YOLDAS;JOHNSON;BOLUKBASI;ALEKSANDROV;BASDAG;ARSLAN;TOYSAL;TOPUZ;UNAL,1;41;4;15;3;10;8;38;26;66;9,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;1,0;0;1;0;1;0;0;0;0;0;0,0;0;0;0;0;1;0;0;1;1;0,34797
Trabzonspor vs. Kayserispor - Saturday August 6 - 2005,Trabzonspor,easy,4-2-3-1,JEFFERSON;BEKIROGLU;ELLER;YAVUZ;EREN;CIMSIR;SZYMKOWIAK;KOCAK;KARADENIZ;YATTARA;TEKKE,1;8;4;38;34;5;7;99;61;11;9,0;0;0;0;0;0;1;0;0;1;0,0;0;0;0;0;0;1;0;0;1;0,0;0;0;0;0;0;0;0;0;0;0,0;1;0;0;0;0;1;0;0;1;0,34797
Denizlispor vs. Ankaraspor - Sunday August 7 - 2005,Ankaraspor,hard,4-2-3-1,JEVRIC;YILDIRIM;YAVAS;TUNC;YIGIT;SARP;GUCER;TITA;ERDOGAN;BUYUK;JABA,1;4;35;5;22;8;50;11;10;6;20,0;0;0;0;0;0;0;0;0;0;1,0;0;0;0;0;0;0;0;1;0;0,0;0;0;1;0;0;1;0;1;1;0,0;0;1;0;0;0;1;1;0;0;0,34798
Denizlispor vs. Ankaraspor - Sunday August 7 - 2005,Denizlispor,hard,4-5-1,HAMIDOU;KECELI;KRATOCHVIL;DOSOUDIL;OZSARAC;SIMSEK;GULPINAR;ABRAHAM;VAROL;MULTAHARJU;RIZA,16;11;7;27;3;5;6;4;13;22;10,0;1;0;0;0;0;0;0;0;0;0,0;0;0;0;0;1;0;0;0;0;0,0;1;0;1;1;0;0;0;0;0;0,0;0;0;0;0;1;1;0;0;1;0,34798
