game,team,difficulty,formation,lineup,lineup_numbers
Buyuksehir Belediyespor vs. Eskisehirspor - Saturday August 23 - 2008,Buyuksehir Belediyespor,hard,4-2-3-1,HASAGIC;EKSIOGLU;DEPE;GULPINAR;ZENGIN;INANC;TEKDEMIR;TJIKUZU;KILIC;BURUK;ADRIANO,1;17;3;60;15;6;21;8;35;7;19
Buyuksehir Belediyespor vs. Eskisehirspor - Saturday August 23 - 2008,Eskisehirspor,hard,4-4-2,IVESA;ONUR;NADAREVIC;VUCKO;COSKUN;OZBAYRAKTAR;KAYA;POLJAK;ERTUGRUL;YOULA;ANDERSON,1;46;13;27;75;10;20;15;55;11;7
Galatasaray vs. Denizlispor - Saturday August 23 - 2008,Denizlispor,hard,4-5-1,GONEN;BIRINCI;IRINEU;KRATOCHVIL;OLGUN;KARAKOC;ABRAHAM;DANIEL BRAGA;YIGEN;BAYDIL;ROBERTS,16;61;77;7;8;19;4;72;45;6;11
Galatasaray vs. Denizlispor - Saturday August 23 - 2008,Galatasaray,easy,4-2-3-1,ERCETIN;BALTA;CETIN;MEIRA;SARIOGLU;TOPAL;AKMAN;KEWELL;LINCOLN;SAS;NONDA,1;22;76;5;55;14;18;19;10;11;20
Gaziantepspor vs. Fenerbahce - Saturday August 23 - 2008,Fenerbahce,easy,4-2-3-1,DEMIREL;ROBERTO CARLOS;LUGANO;EDU DRACENA;GONUL;MALDONADO;BELOZOGLU;BORAL;ALEX;KAZIM-RICHARDS;GUIZA,1;3;2;4;77;33;5;25;10;8;14
Gaziantepspor vs. Fenerbahce - Saturday August 23 - 2008,Gaziantepspor,hard,4-2-3-1,SAHIN;IVAN;DEUMI;POLAT;SEKMAN;CEYLAN;ZURITA;OZGUR;TABATA;YOZGATLI;BETO,1;37;12;27;6;5;8;19;10;7;25
Hacettepe Spor vs. Bursaspor - Saturday August 23 - 2008,Bursaspor,hard,4-2-3-1,IVANKOV;KECELI;ERDOGAN;LEANDRAO;OZTURK;KIRITA;HAS;SEN;SARP;ACAR;ADRIANO MAGRAO,27;23;4;19;38;8;6;10;15;20;90
Hacettepe Spor vs. Bursaspor - Saturday August 23 - 2008,Hacettepe Spor,hard,4-4-2,BILER;KALKAN;MEGAHED;TELI;SAM;MENDONCA;TOZO;BEKMEZCI;ATAK;SAHIN;ZOKO,14;69;90;4;67;10;19;20;22;61;99
Sivasspor vs. Kayserispor - Saturday August 23 - 2008,Kayserispor,hard,4-4-2,HAMIDOU;TOLEDO;TOSCALI;TURAN;GUNGOR;BOYRAZ;SAIDOU;DURAK;TOPUZ;AGHAHOWA;PUROVIC,16;12;25;5;35;67;7;87;66;17;9
Sivasspor vs. Kayserispor - Saturday August 23 - 2008,Sivasspor,hard,4-4-2,PETKOVIC;BAYAR;DIALLO;SOZGELMEZ;DERELI;DAGASAN;TUNCER;SYLLA;AYDIN;TUM;YILDIZ,1;99;25;5;61;24;77;8;7;54;9
Antalyaspor vs. Besiktas - Sunday August 24 - 2008,Antalyaspor,hard,4-2-3-1,CATKIC;CAN;BIENIUK;DZIEWICKI;CETIN;AGCAY;ARSLAN;ZITOUNI;NGWENYA;KAVUK;DJIEHOUA,1;3;7;5;21;15;57;11;13;67;29
Antalyaspor vs. Besiktas - Sunday August 24 - 2008,Besiktas,easy,4-2-3-1,RECBER;KARABULUT;SIVOK;ZAN;TANDOGAN;CISSE;INCEMAN;TELLO;DELGADO;HOLOSKO;BOBO,1;20;6;5;22;4;8;14;10;23;13
Genclerbirligi vs. Kocaelispor - Sunday August 24 - 2008,Genclerbirligi,hard,4-2-3-1,PERIC;TEBER;EKER;EL SAKA;BALAK;SERAS;NAS;PEKTEMEK;CUBUKCU;ESER;DJITE,22;63;20;4;55;61;7;11;17;21;19
Genclerbirligi vs. Kocaelispor - Sunday August 24 - 2008,Kocaelispor,hard,4-4-2,KULBILGE;ANDJELKOVIC;CAM;TUTORIC;BUYUK;JULIO CESAR;NZEKOU;ASLAN;AKIN;JESTROVIC;GULLERI,22;3;89;55;33;8;21;10;99;11;19
Konyaspor vs. Ankaragucu - Sunday August 24 - 2008,Ankaragucu,hard,4-4-2,KIRINTILI;OZSARAC;AYDIN;SUME;CAN;OZKAYNAK;EGE;ERDOGAN;EMRECIKSIN;YILMAZ;JABA,1;2;28;3;8;39;25;33;;10;9
Konyaspor vs. Ankaragucu - Sunday August 24 - 2008,Konyaspor,hard,4-4-2,JEFFERSON;KAUE;MIHAJLOV;COGUM;GULDUREN;KOCAK;TATAN;DEMIR;HASPOLATLI;CIHAN;KILICASLAN,33;11;32;8;3;77;5;42;20;50;17
Trabzonspor vs. Ankaraspor - Sunday August 24 - 2008,Ankaraspor,hard,4-3-3,SENECKY;AYDIN;BATAK;GUVEN;YOLDAS;WEEKS;GUCER;KISA;TITA;CAKIR;BARIS,1;34;13;44;4;27;50;19;8;11;41
Trabzonspor vs. Ankaraspor - Sunday August 24 - 2008,Trabzonspor,easy,4-3-3,ZENGIN;CALE;KORKMAZ;SONG;BALCI;COLMAN;CIMSIR;INAN;BULUT;UNAL;YATTARA,29;3;16;4;30;20;5;8;10;9;11
