game,team,difficulty,formation,lineup
Ankaragucu vs. Mersin Idmanyurdu - Saturday September 10 - 2011,Ankaragucu,hard,3-5-2,ONGUN;TOSCALI;RAJNOCH;UCAR;DURUER;VAROL;KAGAN SOYLEMEZGILLER;GUCER;WEEKS;KELES;SAHIN
Ankaragucu vs. Mersin Idmanyurdu - Saturday September 10 - 2011,Mersin Idmanyurdu,hard,4-2-3-1,ARIKAN;KECELI;BOUM;KAS;GUVEN;BEN YAHIA;OZGUR;ANDRE MORITZ;OZOKWO;ZURITA;NOBRE
Eskisehirspor vs. Besiktas - Saturday September 10 - 2011,Besiktas,easy,4-3-3,GONEN;KOYBASI;KORKMAZ;SIVOK;TORAMAN;FERNANDES;UYSAL;KAVLAK;SIMAO;ALMEIDA;QUARESMA
Eskisehirspor vs. Besiktas - Saturday September 10 - 2011,Eskisehirspor,hard,4-2-3-1,IVESA;DEDE;DIEGO ANGELO;NADAREVIC;COSKUN;SARI;POTUK;OZBAYRAKTAR;KAMARA;ZENGIN;YILDIZ
Manisaspor vs. Trabzonspor - Saturday September 10 - 2011,Manisaspor,hard,4-2-3-1,AVCIBAY;KLUKOWSKI;DIXON;TOK;BARIS;GUVEN;INCEDEMIR;CALISKAN;PROMISE;GOKOGLAN;MAKUKULA
Manisaspor vs. Trabzonspor - Saturday September 10 - 2011,Trabzonspor,easy,4-3-3,ZENGIN;CELUSTKA;KACAR;YUMLU;BALCI;ZOKORA;MIERZEJEWSKI;COLMAN;ALTINTOP;YILMAZ;SEN
Samsunspor vs. Genclerbirligi - Saturday September 10 - 2011,Genclerbirligi,hard,4-5-1,KARABULUT;GECGIN;OZSARAC;DEMIR;CAN;OZTEKIN;AKGUN;DELIBALTA;AYDOGDU;MERIC;MUNUNGA
Samsunspor vs. Genclerbirligi - Saturday September 10 - 2011,Samsunspor,hard,4-4-2,SAHIN;TEBER;ANDRE BAHIA;TOKAK;LAZAR;TEBER;FINK;DOMINGUEZ;YILDIRIM;EKIGHO;BANCE
Antalyaspor vs. Gaziantepspor - Sunday September 11 - 2011,Antalyaspor,hard,4-3-3,CATKIC;NIZAM;BARIS;TURAN;TANDOGAN;INCEMAN;DAGASAN;KAYA;BOYRAZ;ATES;AYDIN
Antalyaspor vs. Gaziantepspor - Sunday September 11 - 2011,Gaziantepspor,hard,4-2-3-1,KARCEMARSKAS;IVAN;NOUNKEU;GUNGOR;KURTULUS;CEYLAN;BINYA;ADIN;WAGNER;POPOV;TOSUN
Bursaspor vs. Kayserispor - Sunday September 11 - 2011,Bursaspor,hard,4-2-3-1,CARSON;WEDERSON;AZIZ;OZTURK;CHRETIEN;KOCAK;N'DIAYE;IPEK;BATALLA;BAHADIR;BANGURA
