game,team,difficulty,formation,lineup
Fenerbahce vs. Eskisehirspor - Friday August 14 - 2015,Eskisehirspor,hard,4-1-4-1,VURAL;KARAER;COSKUN;PARLAK;TOKO;OZTURK;BEN KHALIFA;LAWAL;CAUSIC;BAYRAMOGLU;GEKAS
Fenerbahce vs. Eskisehirspor - Friday August 14 - 2015,Fenerbahce,easy,4-4-2,DEMIREL;KALDIRIM;BA;ALVES;OZBAYRAKLI;DIEGO;SOUZA;MEIRELES;NANI;SOW;FERNANDAO
Basaksehir vs. Antalyaspor - Saturday August 15 - 2015,Antalyaspor,hard,4-2-3-1,FORNEZZI;KVESIC;GOR;CELUSTKA;KANDEMIR;BEKMEZCI;CHICO;LAZAREVIC;KILIC;BASSAN;ETO'O
Basaksehir vs. Antalyaspor - Saturday August 15 - 2015,Basaksehir,hard,4-3-3,BABACAN;OZTORUN;AYHAN;CANSEV;UCAR;BADJI;TEKDEMIR;BELOZOGLU;DOKA MADUREIRA;CIKALLESHI;VISCA
Sivasspor vs. Galatasaray - Saturday August 15 - 2015,Galatasaray,easy,4-2-3-1,MUSLERA;TELLES;BALTA;CHEDJOU;SARIOGLU;INAN;KISA;OZTEKIN;SNEIJDER;ADIN;PODOLSKI
Sivasspor vs. Galatasaray - Saturday August 15 - 2015,Sivasspor,hard,4-2-3-1,SETKUS;KAS;KURT;OZTURK;CICINHO;KOCAK;OZMERT;CHAHECHOUHE;TAOUIL;ESER;KARADENIZ
Trabzonspor vs. Bursaspor - Saturday August 15 - 2015,Bursaspor,hard,4-2-3-1,GUNOK;BEHICH;AZIZ;SIVOK;OZGENC;CINAZ;JORQUERA;TASDEMIR;JOSUE;ADVINCULA;YILDIRIM
Trabzonspor vs. Bursaspor - Saturday August 15 - 2015,Trabzonspor,easy,4-2-3-1,KIVRAK;CONSTANT;MEDJANI;YUMLU;CAVANDA;MBIA;YOKUSLU;ZENGIN;HURMACI;ERDOGAN;CARDOZO
Gaziantepspor vs. Kasimpasa - Sunday August 16 - 2015,Gaziantepspor,hard,4-4-2,KARCEMARSKAS;SEDEF;SUME;VRANJES;YARDIMCI;CAMARA;SEN;KAYALI;CINAR;DEMIR;CHIBUIKE
Gaziantepspor vs. Kasimpasa - Sunday August 16 - 2015,Kasimpasa,hard,4-2-3-1,ISAKSSON;KIRAZ;TITI;OMERUO;SARI;CASTRO;DURAK;TORUN;SCARIONE;YILMAZ;DERDIYOK
Konyaspor vs. Akhisar Belediyespor - Sunday August 16 - 2015,Akhisar Belediyespor,hard,4-3-3,LUKAC;TASDELEN;DOUGLAO;OSMANPASA;CEBE;CEVIKER;YUCE;CUSTODIO;VURAL;KABZE;COLAK
Konyaspor vs. Akhisar Belediyespor - Sunday August 16 - 2015,Konyaspor,hard,4-2-3-1,TARAKCI;USLU;VUKOVIC;JUNIOR;SAHINER;CAMDALI;FINDIKLI;MEHA;INCEMAN;BORA;BAJIC
Mersin Idmanyurdu vs. Besiktas - Sunday August 16 - 2015,Besiktas,easy,4-2-3-1,ZENGIN;TOSIC;GULUM;RHODOLFO;BECK;HUTCHINSON;OZYAKUP;SAHAN;QUARESMA;TORE;TOSUN
Mersin Idmanyurdu vs. Besiktas - Sunday August 16 - 2015,Mersin Idmanyurdu,hard,4-2-3-1,MIHAYLOV;WEDERSON;MITROVIC;SADIKU;BALCI;TAS;KHALILI;NAKOULMA;DELIBALTA;TITA;WELLITON
Osmanlispor Fk vs. Kayserispor - Sunday August 16 - 2015,Kayserispor,hard,4-2-3-1,ARIKAN;BAYRAM;MABIALA;SIMIC;CAN;MIJAILOVIC;DAGASAN;BISESWAR;LOPES;TURUC;DERLEY
Osmanlispor Fk vs. Kayserispor - Sunday August 16 - 2015,Osmanlispor Fk,hard,4-4-2,SAHIN;BAYIR;CURUKSU;SORO;ASLANTAS;TORJE;CAGIRAN;NDIAYE;UMAR;DELIKTAS;KILICASLAN
Genclerbirligi vs. Rizespor - Monday August 17 - 2015,Genclerbirligi,hard,4-2-3-1,KAPLAN;LATOVLEVICI;ATTA;CALIK;OGUZ;SKULASON;DIMITRIADIS;KAHVECI;SPELMANN;EL KABIR;STANCU
Genclerbirligi vs. Rizespor - Monday August 17 - 2015,Rizespor,hard,4-4-2,ITANDJE;ALBAYRAK;OBOABONA;VIERA;OVACIKLI;OZEK;ALTINAY;YALCIN;CHEVALIER;KWEUKE;KADAH
Kasimpasa vs. Basaksehir - Friday August 21 - 2015,Basaksehir,hard,4-2-3-1,BABACAN;OZTORUN;AYHAN;IRTEGUN;UCAR;TEKDEMIR;BELOZOGLU;VISCA;MARCIO MOSSORO;ALKILIC;CIKALLESHI
Kasimpasa vs. Basaksehir - Friday August 21 - 2015,Kasimpasa,hard,4-2-3-1,ISAKSSON;KIRAZ;TITI;OMERUO;SARI;CASTRO;DONK;TORUN;SCARIONE;YILMAZ;BUYUK
Akhisar Belediyespor vs. Mersin Idmanyurdu - Saturday August 22 - 2015,Akhisar Belediyespor,hard,4-3-3,LUKAC;TASDELEN;DOUGLAO;OSMANPASA;CEBE;CUSTODIO;YUCE;CEVIKER;COLAK;KABZE;VURAL
Akhisar Belediyespor vs. Mersin Idmanyurdu - Saturday August 22 - 2015,Mersin Idmanyurdu,hard,4-3-3,MIHAYLOV;WEDERSON;MITROVIC;OZARSLAN;BALCI;CEYLAN;SADIKU;KHALILI;NAKOULMA;WELLITON;VAROL
Besiktas vs. Trabzonspor - Saturday August 22 - 2015,Besiktas,easy,4-2-3-1,ZENGIN;RAMON;GULUM;RHODOLFO;BECK;HUTCHINSON;OZYAKUP;QUARESMA;SAHAN;TORE;TOSUN
Besiktas vs. Trabzonspor - Saturday August 22 - 2015,Trabzonspor,easy,4-2-3-1,KIVRAK;CONSTANT;DEMIR;YUMLU;CAVANDA;MBIA;YOKUSLU;ZENGIN;HURMACI;ERDOGAN;N'DOYE
Kayserispor vs. Konyaspor - Saturday August 22 - 2015,Kayserispor,hard,4-2-3-1,ARIKAN;BAYRAM;MABIALA;SIMIC;CAN;MIJAILOVIC;DAGASAN;BISESWAR;OZBEK;TURUC;DERLEY
Kayserispor vs. Konyaspor - Saturday August 22 - 2015,Konyaspor,hard,4-2-3-1,TARAKCI;USLU;VUKOVIC;JUNIOR;SAHINER;CAMDALI;FINDIKLI;MEHA;TRAORE;BORA;BAJIC
Antalyaspor vs. Genclerbirligi - Sunday August 23 - 2015,Antalyaspor,hard,4-2-3-1,FORNEZZI;KVESIC;GOR;CELUSTKA;KANDEMIR;CELIK;BEKMEZCI;LAZAREVIC;YILDIRIM;BASSAN;ETO'O
