game,team,difficulty,formation,lineup,lineup_numbers,lineup_goals,lineup_assists,lineup_cards,lineup_yellow_cards,lineup_red_cards,lineup_substitutions,source_match_id
Denizlispor vs. Galatasaray - Friday August 16 - 2019,Denizlispor,hard,4-2-3-1,STACHOWIAK;BERGDICH;YILMAZ;SAPUNARU;LOPES;MURAWSKI;YAVRU;BARROW;NIYAZ;AISSATI;RODALLEGA,33;21;15;22;2;8;61;77;20;10;7,0;0;0;0;0;0;0;0;1;0;1,0;1;0;0;0;0;0;0;0;0;0,0;0;1;1;1;0;1;0;0;0;0,0;0;1;1;1;0;1;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;1;1;1;0;0,3221074
Denizlispor vs. Galatasaray - Friday August 16 - 2019,Galatasaray,easy,4-1-4-1,MUSLERA;NAGATOMO;MARCAO;LUYINDAMA;MARIANO;SERI;BABEL;BELHANDA;INAN;DURMAZ;DIAGNE,1;55;45;27;22;6;11;10;8;21;91,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;2;0;1;0;1;1;0;0;0,0;0;1;0;1;0;1;1;0;0;0,0;0;1;0;0;0;0;0;0;0;0,0;0;0;0;0;1;0;0;0;1;1,3221074
Genclerbirligi vs. Rizespor - Saturday August 17 - 2019,Genclerbirligi,hard,4-2-3-1,DIALLO;POLOMAT;RAMOS;TOURE;OGUZ;PEHLIVAN;OZDEMIR;SEUNTJENS;SESSEGNON;CANDEIAS;SIO,27;39;32;15;2;6;5;20;10;21;13,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;2;0;0;0;0;0;0;1;0,0;0;1;0;0;0;0;0;0;1;0,0;0;1;0;0;0;0;0;0;0;0,0;0;0;0;0;1;0;1;0;0;1,3221069
Genclerbirligi vs. Rizespor - Saturday August 17 - 2019,Rizespor,hard,4-2-3-1,AKKAN;MELNJAK;ABARHOUN;CHATZIISAIAS;MOROZYUK;DIOMANDE;VETRIH;SAMUDIO;FERNANDO BOLDRIN;DE PAUW;EL KABIR,23;53;3;25;55;27;44;18;10;11;7,0;1;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;1,0;0;0;0;0;0;0;1;0;1;0,0;0;0;0;0;0;0;1;0;1;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;1;1;0;0;1;0,3221069
Kayserispor vs. Alanyaspor - Saturday August 17 - 2019,Alanyaspor,hard,4-4-2,MARAFONA;N'SAKALA;CAULKER;WELINTON;MORENO;FERNANDES;SIOPIS;GULSELAM;KARACA;CISSE;BAKASETAS,28;21;44;23;24;10;26;6;7;9;11,0;0;0;0;0;0;0;0;0;1;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;1;0,0;0;0;0;0;0;0;0;0;1;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;1;0;1;1;0;0,3221066
Kayserispor vs. Alanyaspor - Saturday August 17 - 2019,Kayserispor,hard,3-4-3,CIPE;CELEBI;ABDENNOUR;POULAIN;TURAN;DJA DJEDJE;RIENSTRA;LOPES;PEDRO HENRIQUE;MENSAH;BULUT,95;25;5;6;15;27;38;13;10;43;9,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;1;0;1;0;0;0;1;1;0,0;0;1;0;1;0;0;0;1;1;0,0;0;0;0;0;0;0;0;0;0;0,0;1;0;0;0;0;1;0;0;0;0,3221066
Sivasspor vs. Besiktas - Saturday August 17 - 2019,Besiktas,easy,4-1-4-1,YUVAKURAN;ERKIN;RUIZ;VIDA;GONUL;MEDEL;QUARESMA;LJAJIC;TOKOZ;BOYD;YALCIN,97;88;4;24;77;6;7;22;26;11;9,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;1;0;0;0;0;0;1;0;1;0,0;1;0;0;0;0;0;1;0;1;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;1;1;0;1;0;0,3221071
Sivasspor vs. Besiktas - Saturday August 17 - 2019,Sivasspor,hard,4-1-4-1,SAMASSA;ERDAL;APPINDANGOYE;OSMANPASA;MARCELO GOIANO;COFIE;KILINC;YANDAS;ARSLAN;YESILYURT;YATABARE,30;58;4;88;87;5;54;8;37;11;9,0;0;0;0;0;0;1;1;0;0;1,0;1;0;0;0;1;0;0;1;0;0,0;1;0;0;0;1;0;1;1;0;0,0;1;0;0;0;1;0;1;1;0;0,0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;1;0;1;0,3221071
Goztepe vs. Antalyaspor - Sunday August 18 - 2019,Antalyaspor,hard,4-1-4-1,BOFFIN;CELUSTKA;DIEGO ANGELO;OZTURK;SANGARE;CHARLES;OZKAN;OZMERT;AKYOL;SINIK;MUKAIRU,25;28;3;95;30;8;21;88;6;17;12,0;0;1;0;0;0;0;0;0;0;0,0;0;0;1;0;0;0;0;0;0;0,0;1;0;0;0;0;0;1;0;0;0,0;1;0;0;0;0;0;1;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;1;0;1;1,3221067
Goztepe vs. Antalyaspor - Sunday August 18 - 2019,Goztepe,hard,4-4-2,BETO;SCHWECHLEN;TITI;SANNEH;GASSAMA;GURLER;POKO;CASTRO;AKBUNAR;DERDIYOK;KADAH,13;55;4;3;20;11;17;8;7;9;63,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;1;0;1;0;1;0;0;0;0,0;0;1;0;1;0;1;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;1;1;0;1,3221067
Kasimpasa vs. Trabzonspor - Sunday August 18 - 2019,Kasimpasa,hard,4-2-3-1,OZTURK;KARIM HAFEZ;BEN YOUSSEF;FERNANDES;POPOV;KHALILI;KARA;ERDOGAN;HAJRADINOVIC;KOITA;THIAM,99;23;5;44;90;21;35;7;10;9;11,0;0;0;0;0;0;1;0;0;0;0,0;0;0;0;1;0;0;0;0;0;0,0;0;0;1;0;0;0;0;1;0;0,0;0;0;1;0;0;0;0;1;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;1;1;0;1,3221068
Kasimpasa vs. Trabzonspor - Sunday August 18 - 2019,Trabzonspor,easy,4-2-3-1,CAKIR;NOVAK;CAMPI;FERNANDES;PEREIRA;MIKEL;SOSA;NWAKAEME;OMUR;SARI;SØRLOTH,1;77;22;14;47;12;8;9;10;20;11,0;0;0;0;0;0;0;0;0;0;1,0;0;0;0;0;0;0;0;1;0;0,0;0;0;0;0;0;0;0;0;0;0,,,0;0;0;0;0;1;0;0;1;1;0,3221068
Konyaspor vs. Ankaragucu - Sunday August 18 - 2019,Ankaragucu,hard,4-1-4-1,CELIKAY;SAK;KULUSIC;PAZDAN;KITSIOU;MOKE;PARLAK;CANTEROS;AGCAY;KARABULUT;ORGILL,1;4;13;22;70;21;23;10;3;20;12,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;1;0;0;0;0,0;0;0;0;0;0;1;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;1;0;0;0;1;0;0;0;1;0,3221070
Konyaspor vs. Ankaragucu - Sunday August 18 - 2019,Konyaspor,hard,4-2-3-1,KIRINTILI;OZTORUN;ANICIC;TURAN;SKUBIC;JONSSON;JEVTOVIC;DACI;MILOSEVIC;SAHINER;BAJIC,1;87;14;4;89;6;8;88;11;7;10,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,,,0;1;0;0;0;0;0;0;1;0;0,3221070
Yeni Malatyaspor vs. Basaksehir - Sunday August 18 - 2019,Basaksehir,hard,4-1-4-1,GUNOK;BEHICH;CHEDJOU;PONCK;JUNIOR CAICARA;AZUBUIKE;ELIA;KAHVECI;AYDOGDU;VISCA;BA,34;23;22;26;80;44;11;17;20;7;19,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;2;0;0;0,0;0;0;0;0;0;0;1;0;0;0,0;0;0;0;0;0;0;1;0;0;0,0;0;0;0;0;1;1;0;1;0;0,3221073
Yeni Malatyaspor vs. Basaksehir - Sunday August 18 - 2019,Yeni Malatyaspor,hard,4-2-3-1,FARNOLLE;KAS;HADEBE;YALCIN;OZDEMIR;YILDIRIM;DONALD;FOFANA;CHAALALI;BIFOUMA;JAHOVIC,30;3;16;6;28;8;20;21;25;10;18,0;0;0;0;0;0;0;1;0;0;1,0;0;1;0;0;0;0;0;0;1;0,0;0;0;1;0;1;0;0;1;0;0,0;0;0;1;0;1;0;0;1;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;1;0;0;1;1;0,3221073
Fenerbahce vs. Gaziantep FK - Monday August 19 - 2019,Fenerbahce,easy,4-2-3-1,BAYINDIR;DIRAR;ZANKA;JAILSON;ISLA;TUFAN;BELOZOGLU;RODRIGUES;KRUSE;MOSES;MURIQI,98;17;32;25;4;7;5;24;10;11;94,0;1;0;0;0;0;1;0;0;1;1,0;0;0;0;0;0;1;0;2;1;0,0;0;0;0;0;0;0;0;0;0;1,0;0;0;0;0;0;0;0;0;0;1,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;1;1;0;1;0,3221072
Fenerbahce vs. Gaziantep FK - Monday August 19 - 2019,Gaziantep FK,hard,3-5-2,GUVENC;KANA-BIYIK;DJILOBODJI;TOSCA;JUNIOR MORAIS;TETTEH;JEFFERSON;CHIBSAH;OLKOWSKI;KAYODE;PAWŁOWSKI,1;76;3;6;13;55;8;15;16;10;9,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;1;0;0;0;0;0;0,0;0;0;0;0;1;1;1;0;0;0,0;0;0;0;0;1;1;1;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;1;0;1;1,3221072
Besiktas vs. Goztepe - Friday August 23 - 2019,Besiktas,easy,4-1-4-1,KARIUS;ERKIN;RUIZ;VIDA;GONUL;MEDEL;BOYD;LJAJIC;OZYAKUP;LENS;YALCIN,1;88;4;24;77;6;11;22;10;27;9,0;1;0;0;0;0;0;1;0;0;1,0;1;0;0;0;0;0;1;0;1;0,0;0;1;0;0;0;0;0;0;0;0,0;0;1;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;1;1;0;1;0;0,3221091
Besiktas vs. Goztepe - Friday August 23 - 2019,Goztepe,hard,4-4-2,BETO;SCHWECHLEN;TITI;SANNEH;GASSAMA;OZTEKIN;POKO;BORGES;GURLER;DERDIYOK;KADAH,13;55;4;3;20;23;17;6;11;9;63,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;1;0;0;0;0,0;0;0;0;0;0;1;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;1;0;1;0;1;0,3221091
Alanyaspor vs. Kasimpasa - Saturday August 24 - 2019,Alanyaspor,hard,4-4-2,MARAFONA;N'SAKALA;CAULKER;WELINTON;MORENO;FERNANDES;SIOPIS;GULSELAM;KARACA;CISSE;BAKASETAS,28;21;44;23;24;10;26;6;7;9;11,0;0;0;0;0;1;0;0;0;1;1,0;1;0;0;0;0;1;0;1;0;1,0;1;0;1;0;0;0;0;1;1;0,0;1;0;1;0;0;0;0;1;1;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;1;0;0;0;1;1,3221088
Alanyaspor vs. Kasimpasa - Saturday August 24 - 2019,Kasimpasa,hard,4-2-3-1,OZTURK;KARIM HAFEZ;BEN YOUSSEF;FERNANDES;POPOV;KHALILI;KARA;ERDOGAN;HAJRADINOVIC;KOITA;THIAM,99;23;5;44;90;21;35;7;10;9;11,0;0;0;0;0;0;0;0;0;0;1,0;0;0;0;0;0;0;1;0;0;0,0;1;0;0;0;1;0;0;0;0;1,0;1;0;0;0;1;0;0;0;0;1,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;1;1;0;1,3221088
Ankaragucu vs. Kayserispor - Saturday August 24 - 2019,Ankaragucu,hard,4-1-4-1,CELIKAY;SAK;KULUSIC;PAZDAN;KITSIOU;MOKE;PARLAK;CANTEROS;AGCAY;KARABULUT;ORGILL,1;4;13;22;70;21;23;10;3;20;12,0;0;0;0;0;0;0;0;0;0;1,0;0;0;0;0;0;0;1;0;0;0,0;0;0;0;1;0;0;0;0;1;1,0;0;0;0;1;0;0;0;0;1;1,0;0;0;0;0;0;0;0;0;0;0,0;1;0;0;0;0;0;0;1;1;0,3221087
Ankaragucu vs. Kayserispor - Saturday August 24 - 2019,Kayserispor,hard,4-2-3-1,SILVIU LUNG JR;TURAN;ABDENNOUR;POULAIN;LOPES;DJA DJEDJE;RIENSTRA;PEDRO HENRIQUE;MENSAH;ALKURT;BULUT,33;15;5;6;13;27;38;10;43;61;9,0;0;0;0;0;0;0;0;0;0;1,0;0;0;0;0;0;0;0;0;0;0,0;1;0;0;0;0;0;0;0;0;0,0;1;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;1;0;0;0;0;0;0;1;1;0,3221087
Basaksehir vs. Fenerbahce - Saturday August 24 - 2019,Basaksehir,hard,4-1-4-1,GUNOK;BEHICH;VIEIRA;CHEDJOU;JUNIOR CAICARA;AZUBUIKE;ELIA;TURAN;MARCIO MOSSORO;VISCA;CRIVELLI,34;23;24;22;80;44;11;10;8;7;27,0;0;0;0;0;0;0;0;0;0;1,1;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,,,0;0;0;0;0;0;1;1;0;0;1,3221089
Basaksehir vs. Fenerbahce - Saturday August 24 - 2019,Fenerbahce,easy,4-2-3-1,BAYINDIR;DIRAR;ZANKA;JAILSON;TUFAN;CIGERCI;BELOZOGLU;RODRIGUES;KRUSE;TURUC;MURIQI,98;17;32;25;7;14;5;24;10;23;94,0;1;0;0;0;0;0;0;0;0;1,0;0;0;0;0;1;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,,,0;0;0;0;0;1;0;1;0;1;0,3221089
Antalyaspor vs. Denizlispor - Sunday August 25 - 2019,Antalyaspor,hard,4-1-4-1,BOFFIN;CELUSTKA;DIEGO ANGELO;OZTURK;SANGARE;CHARLES;OZKAN;OZMERT;AKYOL;AMILTON;MUKAIRU,25;28;3;5;30;8;21;88;19;23;12,0;0;0;1;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;1;0;0,0;0;0;0;0;0;0;0;1;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;1;1;0;0;1,3221093
Antalyaspor vs. Denizlispor - Sunday August 25 - 2019,Denizlispor,hard,4-2-3-1,STACHOWIAK;BERGDICH;SAPUNARU;YILMAZ;LOPES;MURAWSKI;YAVRU;BARROW;NIYAZ;AISSATI;RODALLEGA,33;21;22;15;2;8;61;77;20;10;7,0;0;0;0;0;0;0;1;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;1;1;0;1;0,0;0;0;0;0;0;1;1;0;1;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;1;1;1;0;0,3221093
Galatasaray vs. Konyaspor - Sunday August 25 - 2019,Galatasaray,easy,4-2-3-1,MUSLERA;NAGATOMO;DONK;LUYINDAMA;MARIANO;NZONZI;SERI;BABEL;FEGHOULI;MOR;DIAGNE,1;55;15;27;22;92;6;11;89;97;91,0;0;0;0;0;0;0;1;0;0;0,0;0;0;0;0;1;0;0;0;0;0,0;0;0;0;0;0;1;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;1;0;0;0;0,0;0;0;0;0;0;0;0;1;1;1,3221086
Galatasaray vs. Konyaspor - Sunday August 25 - 2019,Konyaspor,hard,4-2-3-1,KIRINTILI;OZTORUN;ANICIC;TURAN;SKUBIC;JONSSON;JEVTOVIC;DACI;MILOSEVIC;SAHINER;BAJIC,1;87;14;4;89;6;8;88;11;7;10,0;0;0;0;0;1;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;1;0;1;0;0;0;1;0;0;0,0;1;0;1;0;0;0;1;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;1;0;0;0;0;1;1;0;0;0,3221086
Rizespor vs. Sivasspor - Sunday August 25 - 2019,Rizespor,hard,4-2-3-1,AKKAN;MELNJAK;ABARHOUN;CHATZIISAIAS;MOROZYUK;ATTAMAH;VETRIH;SAMUDIO;FERNANDO BOLDRIN;DE PAUW;EL KABIR,23;53;3;25;55;6;44;18;10;11;7,0;0;0;0;0;0;0;1;1;0;0,0;0;1;0;0;0;0;0;0;1;0,0;0;0;0;0;1;0;0;0;0;0,0;0;0;0;0;1;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;1;1;1,3221090
Rizespor vs. Sivasspor - Sunday August 25 - 2019,Sivasspor,hard,4-1-4-1,SAMASSA;ERDAL;APPINDANGOYE;OSMANPASA;MARCELO GOIANO;COFIE;KILINC;YANDAS;ARSLAN;YESILYURT;YATABARE,30;58;4;88;87;5;54;8;37;11;9,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;1;0;0;0;1;0;0;0;0,0;0;1;0;0;0;1;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;1;0;1;0;1;0,3221090
Trabzonspor vs. Yeni Malatyaspor - Sunday August 25 - 2019,Trabzonspor,easy,4-2-3-1,CAKIR;NOVAK;HOSSEINI;TURKMEN;PEREIRA;PARMAK;SOSA;NWAKAEME;EKUBAN;OMUR;SØRLOTH,1;77;5;4;47;61;8;9;18;10;11,0;0;0;0;1;0;0;0;0;1;0,0;0;0;0;0;0;1;0;0;0;0,0;0;0;0;0;0;1;0;0;0;0,0;0;0;0;0;0;1;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;1;0;0;0;1;1,3221092
Trabzonspor vs. Yeni Malatyaspor - Sunday August 25 - 2019,Yeni Malatyaspor,hard,4-2-3-1,FARNOLLE;KAS;HADEBE;MINA;OZDEMIR;YALCIN;DONALD;FOFANA;GUILHERME;BIFOUMA;JAHOVIC,30;3;16;44;76;6;20;21;66;10;18,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;1;0;0;0;0;0;0;0;0;1,0;1;0;0;0;0;0;0;0;0;1,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;1;0;0;1;0;0,3221092
Gaziantep FK vs. Genclerbirligi - Monday August 26 - 2019,Gaziantep FK,hard,3-4-3,GUVENC;KANA-BIYIK;DJILOBODJI;TOSCA;JUNIOR MORAIS;TETTEH;DIARRA;CEYLAN;TWUMASI;KAYODE;VURAL,1;76;3;6;13;55;18;17;27;10;11,0;0;0;0;0;0;0;1;0;2;1,0;0;0;0;0;0;0;0;0;0;1,0;0;1;0;0;0;0;0;0;0;0,0;0;1;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;1;0;0;0;1;0;0;0;1,3221085
Gaziantep FK vs. Genclerbirligi - Monday August 26 - 2019,Genclerbirligi,hard,4-2-3-1,DIALLO;POLOMAT;KIZILDAG;TOURE;OGUZ;FABRICIO BAIANO;OZDEMIR;CIFTCI;SESSEGNON;CANDEIAS;SIO,27;39;24;15;2;8;5;7;10;21;13,0;0;0;0;0;0;1;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;1;0;1;1;0;0;0;0;0;0,0;0;0;1;0;0;0;0;0;0;0,0;1;0;0;1;0;0;0;0;0;0,0;0;0;0;0;0;0;1;1;0;1,3221085
Kasimpasa vs. Ankaragucu - Friday August 30 - 2019,Ankaragucu,hard,4-1-4-1,CELIKAY;PINTO;KULUSIC;PAZDAN;KITSIOU;MOKE;PARLAK;CANTEROS;AGCAY;KARABULUT;ORGILL,1;8;13;22;70;21;23;10;3;20;12,0;0;0;0;0;0;1;0;0;0;0,0;0;0;0;1;0;0;0;0;0;0,0;1;0;0;0;0;1;0;0;1;0,0;1;0;0;0;0;1;0;0;1;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;1;0;0;1;1;0,3221096
Kasimpasa vs. Ankaragucu - Friday August 30 - 2019,Kasimpasa,hard,4-2-3-1,OZTURK;KARIM HAFEZ;SARI;BEN YOUSSEF;POPOV;KHALILI;KARA;ERDOGAN;HAJRADINOVIC;THIAM;PEKTEMEK,99;23;88;5;90;21;35;7;10;11;19,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;1;0;0;0;0;0;0;0;0;0,0;1;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;1;0;1;0;0;1,3221096
Kayserispor vs. Galatasaray - Friday August 30 - 2019,Galatasaray,easy,4-1-4-1,MUSLERA;NAGATOMO;MARCAO;LUYINDAMA;MARIANO;NZONZI;BABEL;BELHANDA;BAYRAM;FEGHOULI;DIAGNE,1;55;45;27;22;92;11;10;19;89;91,0;0;0;0;0;0;1;1;0;0;0,0;0;0;0;0;0;0;1;0;1;0,0;0;1;0;1;0;0;1;1;0;0,0;0;1;0;1;0;0;1;1;0;0,0;0;0;0;0;0;0;0;0;0;0,0;1;0;0;1;0;0;0;0;0;1,3221102
