game,team,difficulty,formation,lineup
Rizespor vs. Fenerbahce - Friday September 11 - 2020,Fenerbahce,easy,4-2-3-1,BAYINDIR;ERKIN;AZIZ;ZANKA;GONUL;CIGERCI;LUIZ GUSTAVO;KADIOGLU;TURUC;THIAM;FREY
Rizespor vs. Fenerbahce - Friday September 11 - 2020,Rizespor,hard,4-3-3,AKKAN;MELNJAK;CHATZIISAIAS;AY;MOROZYUK;FABRICIO BAIANO;DURAK;VETRIH;SAMUDIO;SKODA;FERNANDO BOLDRIN
Fatih Karagumruk vs. Yeni Malatyaspor - Saturday September 12 - 2020,Fatih Karagumruk,hard,4-2-3-1,OZER;ERDEM;ZUKANOVIC;ROCO;CIVELEK;SARIGUL;SABO;NDAO;ARVELADZE;ERDINC;SOBIECH
Fatih Karagumruk vs. Yeni Malatyaspor - Saturday September 12 - 2020,Yeni Malatyaspor,hard,4-2-3-1,HERRERA;KARIM HAFEZ;NDAYISHIMIYE;AKCA;CHEBAKE;ACQUAH;ILDIZ;BUYUK;CUEVA;FOFANA;BULUT
Galatasaray vs. Gaziantep FK - Saturday September 12 - 2020,Galatasaray,easy,4-1-4-1,OZTURK;SARACCHI;MARCAO;LUYINDAMA;ELABDELLAOUI;ANTALYALI;KILINC;TURAN;BELHANDA;FEGHOULI;FALCAO
Galatasaray vs. Gaziantep FK - Saturday September 12 - 2020,Gaziantep FK,hard,5-3-2,GUVENC;JUNIOR MORAIS;AKTAS;DJILOBODJI;KANA-BIYIK;CEYLAN;MAXIM;SOUSA;VURAL;ANDRE FELIPE;OZER
Goztepe vs. Denizlispor - Saturday September 12 - 2020,Denizlispor,hard,4-2-3-1,GONEN;BERGDICH;YUMLU;YILMAZ;LOPES;BAKALORZ;MURAWSKI;MESANOVIC;AISSATI;SACKO;RODALLEGA
Goztepe vs. Denizlispor - Saturday September 12 - 2020,Goztepe,hard,4-2-3-1,EGRIBAYAT;EMIR;NUKAN;OZTURK;PALULI;KAYAN;AYDOGDU;TRIPIC;MARCIO MOSSORO;AKBUNAR;IDEYE
Sivasspor vs. Alanyaspor - Saturday September 12 - 2020,Alanyaspor,hard,4-3-3,MARAFONA;MOUBANDJE;TZAVELLAS;CAULKER;MORENO;UCAN;AKSOY;BAKASETAS;DAVIDSON;BAREIRO;KARACA
Sivasspor vs. Alanyaspor - Saturday September 12 - 2020,Sivasspor,hard,4-4-2,SAMASSA;CIFTCI;CAMARA;OSMANPASA;MARCELO GOIANO;GRADEL;YALCIN;ARSLAN;YESILYURT;YATABARE;JORGE FELIX
Ankaragucu vs. Buyuksehir Belediye Erzurumspor - Sunday September 13 - 2020,Ankaragucu,hard,4-4-2,CELIKAY;TURAN;SARLIJA;KULUSIC;KARAYEL;ADZIC;LUKASIK;PAZDAN;KITSIOU;BOLINGI;PARLAK
