game,team,difficulty,formation,lineup
Istanbulspor vs. Trabzonspor - Friday August 5 - 2022,Istanbulspor,hard,5-4-1,JENSEN;ERDOGAN;YESIL;AKSU;YASAR;BERBER;YAZGAN;KABASAKAL;TOPALLI;ABAZAJ;YILMAZ
Istanbulspor vs. Trabzonspor - Friday August 5 - 2022,Trabzonspor,easy,4-1-4-1,CAKIR;VITOR HUGO;ELMALI;STRYGER;TOKOZ;SIOPIS;OMUR;BAKASETAS;TREZEGUET;VISCA;CORNELIUS
Besiktas vs. Kayserispor - Saturday August 6 - 2022,Besiktas,easy,4-3-3,DESTANOGLU;SAISS;MASUAKU;ROSIER;UYSAL;YILMAZ;FERNANDES;UCAN;GHEZZAL;WEGHORST;MULEKA
Besiktas vs. Kayserispor - Saturday August 6 - 2022,Kayserispor,hard,4-3-3,BAYAZIT;HOSSEINI;KOLOVETSIOS;CAROLE;BULUT;BERTOLACCI;KARIMI;CARDOSO;BASSAN;GAVRANOVIC;THIAM
Sivasspor vs. Gaziantep FK - Saturday August 6 - 2022,Gaziantep FK,hard,4-3-3,GUVENC;DJILOBODJI;ERSOY;ESKIHELLAC;HANOUSEK;KITSIOU;JEVTOVIC;SOYALP;MAXIM;MARKOVIC;FIGUEIREDO
Sivasspor vs. Gaziantep FK - Saturday August 6 - 2022,Sivasspor,hard,4-2-3-1,YILDIRIM;OSMANPASA;YALCIN;GOUTAS;CIFTCI;YESILYURT;PALULI;ULVESTAD;KESGIN;GRADEL;YATABARE
Antalyaspor vs. Galatasaray - Sunday August 7 - 2022,Antalyaspor,hard,4-2-3-1,BOFFIN;TOPRAK;KUDRYASHOV;VURAL;BALCI;FERNANDO;AYDOGDU;NDAO;GHACHA;LUIZ ADRIANO;WRIGHT
Antalyaspor vs. Galatasaray - Sunday August 7 - 2022,Galatasaray,easy,4-2-3-1,MUSLERA;BARDAKCI;NELSSON;VAN AANHOLT;BOEY;KUTLU;OLIVEIRA;AKBABA;AKGUN;AKTURKOGLU;SEFEROVIC
Fatih Karagumruk vs. Alanyaspor - Sunday August 7 - 2022,Alanyaspor,hard,3-4-2-1,KARAGOZ;BAYIR;AKSOY;BALKOVEC;FER;GUNES;OZDEMIR;KARACA;BEKIROGLU;EDUARDO;CANDEIAS
Fatih Karagumruk vs. Alanyaspor - Sunday August 7 - 2022,Fatih Karagumruk,hard,4-1-4-1,VIVIANO;BEKAROGLU;BIRASCHI;MERCAN;ERKIN;TINTIS;RICCI;OZDOEV;SHUKUROV;BORINI;DIAGNE
Giresunspor vs. Adana Demirspor - Sunday August 7 - 2022,Adana Demirspor,hard,4-2-3-1,OZBIR;AKAYDIN;RAKITSKYI;RODRIGUES;SVENSSON;NDIAYE;INLER;BELHANDA;ONYEKURU;SARI;ASSOMBALONGA
Giresunspor vs. Adana Demirspor - Sunday August 7 - 2022,Giresunspor,hard,4-2-3-1,PIRI;PEREZ;PICINCIOL;ULUDAG;BILAZER;TRAORE;AKPINAR;DAVAS;SERGINHO;SAINZ;BAJIC
Ankaragucu vs. Konyaspor - Monday August 8 - 2022,Ankaragucu,hard,4-2-3-1,GUNGORDU;CANKAYA;MUJAKIC;MARLON;CEYLAN;DURAK;PEDRINHO;ZAHID;BERIDZE;CHATZIGIOVANNIS;MACHEDA
Ankaragucu vs. Konyaspor - Monday August 8 - 2022,Konyaspor,hard,4-2-3-1,SEHIC;CALVO;DEMIRBAG;GUILHERME;OGUZ;HADZIAHMETOVIC;DIKMEN;RAHMANOVIC;BYTYQI;MICHALAK;CIKALLESHI
Basaksehir vs. Kasimpasa - Monday August 8 - 2022,Basaksehir,hard,4-3-3,BABACAN;DUARTE;EPUREANU;NDAYISHIMIYE;LIMA;JUNIOR CAICARA;TEKDEMIR;SZYSZ;ALEKSIC;CHOUIAR;GURLER
Basaksehir vs. Kasimpasa - Monday August 8 - 2022,Kasimpasa,hard,4-1-4-1,TASKIRAN;BRUMA;YEMISCI;PETRETTA;KARA;HADERGJONAJ;HAJRADINOVIC;EYSSERIC;BEN OUANES;FALL;BAHOKEN
Fenerbahce vs. Umraniyespor - Monday August 8 - 2022,Fenerbahce,easy,4-4-2,BAYINDIR;SZALAI;GUSTAVO HENRIQUE;LUAN PERES;KADIOGLU;ARAO;LINCOLN;ROSSI;MOR;VALENCIA;KING
Fenerbahce vs. Umraniyespor - Monday August 8 - 2022,Umraniyespor,hard,4-1-4-1,KIRINTILI;GLUMAC;ALLYSON;LENJANI;GURBULAK;MRSIC;AVOUNOU;GOKSU;BETTAIEB;DEL VALLE;GERALDO
Trabzonspor vs. Hatayspor - Friday August 12 - 2022,Hatayspor,hard,4-3-3,KARDESLER;FALETTE;VRANJES;ADEKUGBE;COREKCI;CAGIRAN;AABID;RIBEIRO;SAINT-LOUIS;LOBJANIDZE;EL KAABI
Trabzonspor vs. Hatayspor - Friday August 12 - 2022,Trabzonspor,easy,4-2-3-1,CAKIR;VITOR HUGO;DENSWIL;ELMALI;STRYGER;SIOPIS;HASPOLAT;BAKASETAS;TREZEGUET;VISCA;CORNELIUS
Adana Demirspor vs. Sivasspor - Saturday August 13 - 2022,Adana Demirspor,hard,4-2-3-1,OZBIR;AKAYDIN;RAKITSKYI;RODRIGUES;SVENSSON;INLER;NDIAYE;BELHANDA;ONYEKURU;AKINTOLA;ASSOMBALONGA
