game,team,difficulty,formation,lineup,lineup_numbers,lineup_goals,lineup_assists,lineup_cards,lineup_substitutions,source_match_id
Kocaelispor vs. Fenerbahce - Friday August 11 - 2000,Fenerbahce,easy,3-5-2,RECBER;DOGAN;OKECHUKWU;MIRKOVIC;ERCAN;TEMIZKANOGLU;REVIVO;GUNES;LAZETIC;ANDERSSON;BALJIC,1;4;5;6;18;3;10;2;17;19;11,0;0;0;0;0;1;1;0;1;1;0,0;0;0;0;0;0;0;0;0;1;2,0;0;1;0;0;1;0;1;0;0;1,0;1;0;0;0;0;1;0;0;1;0,951672
Besiktas vs. Yimpas Yozgatspor - Saturday August 12 - 2000,Besiktas,easy,4-4-2,SHORUNMU;MUNCH;ZAFER;HALILAGIC;KHLESTOV;KAHVECI;OZDILEK;HAVUTCU;KARHAN;NOUMA;DURSUN,1;11;6;5;16;8;10;3;2;21;7,0;0;0;0;0;1;1;0;0;0;1,0;0;0;0;0;0;0;0;0;0;1,0;0;0;0;0;0;0;0;0;0;1,0;0;0;0;1;0;1;0;1;0;0,951673
Erzurumspor vs. Trabzonspor - Saturday August 12 - 2000,Trabzonspor,easy,3-5-2,MILOSEVSKI;OZKOYLU;NIKOLOVSKI;OZTURK;KARADENIZ;DEMIRAY;NAMLI;SERAFIMOVSKI;TUNA;LANGE;CIKIRIKCI,12;5;3;4;61;7;17;21;25;18;6,0;0;0;0;0;0;1;0;1;0;0,0;0;0;1;0;0;0;0;1;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;1;0;0;0;1;1,951676
Denizlispor vs. Galatasaray - Sunday August 13 - 2000,Galatasaray,easy,4-4-2,TAFFAREL;PENBE;KORKMAZ;POPESCU;AKYEL;HAGI;KAYA;BELOZOGLU;BURUK;JARDEL;MARCIO MIXIRICA,1;67;3;4;14;10;8;5;7;9;36,0;0;0;0;0;1;0;0;0;0;0,0;0;0;0;0;0;1;0;0;0;0,0;0;1;1;0;0;0;0;0;0;0,0;1;0;0;0;0;0;0;1;0;1,951680
Antalyaspor vs. Besiktas - Friday August 18 - 2000,Besiktas,easy,3-5-2,SHORUNMU;GURACAR;BOZKURT;HALILAGIC;MUNCH;HAVUTCU;OZDILEK;KARHAN;KAHVECI;NOUMA;DURSUN,1;17;14;5;11;3;10;2;8;21;7,0;0;0;0;1;0;0;0;0;1;0,0;0;0;0;0;0;0;0;1;0;1,0;0;0;0;0;1;0;0;0;1;0,0;0;0;0;0;0;1;0;0;0;1,1079606
Galatasaray vs. Erzurumspor - Saturday August 19 - 2000,Galatasaray,easy,4-4-2,TAFFAREL;PENBE;ASIK;POPESCU;AKYEL;BELOZOGLU;KAYA;HAGI;BURUK;JARDEL;AYKUT,1;67;26;4;14;5;8;10;7;9;20,0;0;0;0;0;0;0;2;0;5;0,0;0;0;0;0;1;1;0;1;0;0,0;0;0;1;0;0;0;0;0;0;0,0;1;0;1;0;0;0;0;1;0;0,1079610
Fenerbahce vs. Istanbulspor - Sunday August 20 - 2000,Fenerbahce,easy,3-4-3,RECBER;TEMIZKANOGLU;OKECHUKWU;MIRKOVIC;ERCAN;GUNES;MOSHOEU;LAZETIC;BALJIC;ANDERSSON;REVIVO,1;3;5;6;18;2;27;17;11;19;10,0;0;1;0;0;0;0;1;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;1;0;0;1;0;0;1;0;0;0,0;0;0;1;0;0;1;0;1;0;0,1079614
Trabzonspor vs. Bursaspor - Sunday August 20 - 2000,Trabzonspor,easy,3-5-2,MILOSEVSKI;OZKOYLU;NIKOLOVSKI;OZTURK;KARADENIZ;DEMIRAY;SERAFIMOVSKI;NAMLI;TUNA;MANDIRALI;LANGE,12;5;3;4;61;7;21;17;25;10;18,0;0;0;0;0;0;1;0;0;0;1,0;0;0;1;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;1;0;0;0;0;0;1;1,1079611
Samsunspor vs. Trabzonspor - Friday August 25 - 2000,Trabzonspor,easy,4-4-2,MILOSEVSKI;DEMIRCI;NIKOLOVSKI;OZKOYLU;TUNA;KARADENIZ;SERAFIMOVSKI;NAMLI;DEMIRAY;MANDIRALI;LANGE,12;8;3;5;25;61;21;17;7;10;18,0;0;0;0;1;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;1;0;0;0;0;0;1;0,0;0;0;0;0;0;0;0;1;1;1,1079615
Genclerbirligi vs. Fenerbahce - Saturday August 26 - 2000,Fenerbahce,easy,3-5-2,RECBER;OZSOY;OKECHUKWU;MIRKOVIC;ERCAN;GUNES;REVIVO;LAZETIC;KARABACAK;ANDERSSON;BALJIC,1;22;5;6;18;2;10;17;14;19;11,0;0;1;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;1;0,0;0;0;1;0;0;0;0;0;0;0,0;1;0;0;0;0;0;0;0;0;1,1079618
Besiktas vs. Rizespor - Sunday August 27 - 2000,Besiktas,easy,3-5-2,SHORUNMU;GURACAR;BOZKURT;HALILAGIC;MUNCH;HAVUTCU;KARHAN;UZULMEZ;KAHVECI;NOUMA;DURSUN,1;17;14;5;11;3;2;19;8;21;7,0;0;0;0;0;0;0;0;0;2;0,0;0;0;0;0;0;0;1;0;0;0,0;0;0;0;0;1;1;1;1;0;0,0;0;0;0;0;0;0;0;0;0;1,1079622
Bursaspor vs. Galatasaray - Wednesday September 6 - 2000,Galatasaray,easy,4-4-2,TAFFAREL;UNSAL;KORKMAZ;CAPONE;AKYEL;BELOZOGLU;KAYA;HAGI;BURUK;JARDEL;AYKUT,1;57;3;35;14;5;8;10;7;9;20,0;0;0;0;0;0;0;0;0;1;1,0;0;0;0;0;0;0;2;0;0;0,0;1;0;0;0;1;1;0;0;0;0,0;1;0;0;0;0;0;0;1;0;1,1079623
Adanaspor vs. Besiktas - Friday September 8 - 2000,Besiktas,easy,3-5-2,SHORUNMU;GURACAR;BOZKURT;HALILAGIC;MUNCH;SULUN;OZDILEK;UZULMEZ;ALACAYIR;NOUMA;KAHVECI,1;17;14;5;11;28;10;19;20;21;8,0;0;0;0;0;0;0;0;0;1;0,0;0;0;0;0;0;1;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;1;1;0;1,1079624
Galatasaray vs. Samsunspor - Saturday September 9 - 2000,Galatasaray,easy,4-4-2,TAFFAREL;PENBE;KORKMAZ;POPESCU;AKYEL;YILDIRIM;KAYA;SAS;DAVALA;JARDEL;AYKUT,1;67;3;4;14;6;8;11;22;9;20,0;0;0;0;0;0;0;0;0;1;0,0;1;0;0;0;0;0;0;0;0;0,0;0;0;1;0;0;1;0;0;0;0,0;1;0;0;0;1;0;1;0;0;0,1079627
Trabzonspor vs. Kocaelispor - Saturday September 9 - 2000,Trabzonspor,easy,4-4-2,MILOSEVSKI;DEMIRCI;NIKOLOVSKI;OZKOYLU;GUVEN;KARADENIZ;NAMLI;YALCIN;TUNA;MANDIRALI;LANGE,12;8;3;5;13;61;17;2;25;10;18,0;0;0;0;0;0;0;0;0;2;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;1;0;1;0;0;0;0,0;1;0;0;1;0;0;1;0;0;0,1079626
Fenerbahce vs. Siirt Jetpa Spor - Sunday September 10 - 2000,Fenerbahce,easy,3-4-3,RECBER;DOGAN;TEMIZKANOGLU;MIRKOVIC;ERCAN;LAZETIC;REVIVO;GUNES;BALJIC;ANDERSSON;AKIN,1;4;3;6;18;17;10;2;11;19;9,0;0;0;0;0;0;1;1;0;1;0,0;0;0;0;0;0;1;0;0;0;0,0;0;0;0;2;1;0;0;0;1;0,0;0;0;0;0;0;1;0;1;0;1,1079632
Kocaelispor vs. Galatasaray - Friday September 15 - 2000,Galatasaray,easy,4-4-2,TAFFAREL;PENBE;KORKMAZ;CAPONE;AKYEL;HAGI;AKIN;BELOZOGLU;DAVALA;JARDEL;MARCIO MIXIRICA,1;67;3;35;14;10;28;5;22;9;36,0;0;0;0;0;2;0;0;0;1;0,0;0;0;0;0;0;0;1;1;0;0,0;1;0;0;0;0;0;0;0;1;0,0;0;0;0;1;0;0;1;0;0;1,1079633
Besiktas vs. Fenerbahce - Saturday September 16 - 2000,Besiktas,easy,4-4-2,SHORUNMU;UZULMEZ;BOZKURT;GURACAR;KHLESTOV;MUNCH;HAVUTCU;KARHAN;KAHVECI;NOUMA;DURSUN,1;19;14;13;16;11;3;2;8;21;7,0;0;0;0;0;0;1;0;1;1;0,0;0;0;0;0;2;1;0;0;0;0,0;0;0;1;0;0;1;0;0;0;0,0;0;0;0;0;0;0;0;1;1;1,1079634
Besiktas vs. Fenerbahce - Saturday September 16 - 2000,Fenerbahce,easy,3-4-3,RECBER;DOGAN;OKECHUKWU;TEMIZKANOGLU;MIRKOVIC;MIRKOVIC;MOSHOEU;GUNES;BALJIC;ANDERSSON;LAZETIC,1;4;5;3;30;6;27;2;11;19;17,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;1;0;0;0;0;0;0;0;0;1,0;0;1;0;1;0;0;0;1;0;0,1079634
Istanbulspor vs. Trabzonspor - Sunday September 17 - 2000,Trabzonspor,easy,3-5-2,MILOSEVSKI;OZKOYLU;NIKOLOVSKI;OZTURK;KARADENIZ;SERAFIMOVSKI;YALCIN;NAMLI;TUNA;MANDIRALI;LANGE,12;5;3;4;61;21;2;17;25;10;18,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;1;0;1;0;0;0;0;1,1079641
Ankaragucu vs. Besiktas - Friday September 22 - 2000,Besiktas,easy,4-4-2,SHORUNMU;UZULMEZ;BOZKURT;GURACAR;KHLESTOV;MUNCH;HAVUTCU;KARHAN;KAHVECI;NOUMA;DURSUN,1;19;14;17;16;11;3;2;8;21;7,0;0;0;0;0;0;0;1;0;1;0,0;0;0;0;0;1;0;0;2;0;0,0;1;0;1;0;0;0;0;0;1;1,1;0;0;0;0;0;0;0;0;1;1,1079642
Galatasaray vs. Istanbulspor - Saturday September 23 - 2000,Galatasaray,easy,4-4-2,TAFFAREL;UNSAL;ASIK;POPESCU;CAPONE;BELOZOGLU;KAYA;HAGI;DAVALA;JARDEL;AYKUT,1;57;26;4;35;5;8;10;22;9;20,0;0;0;0;0;0;0;0;0;0;1,0;0;0;0;0;0;0;0;0;0;0,0;0;0;1;0;0;0;0;0;0;0,0;1;0;0;1;0;0;0;1;0;0,1079644
