game,team,difficulty,formation,lineup
Antalyaspor vs. Trabzonspor - Saturday December 11 - 2021,Antalyaspor,hard,3-4-3,BOFFIN;SARI;NALDO;KUDRYASHOV;BALCI;POLI;FREDY;VURAL;GHACHA;SINIK;MUKAIRU
Antalyaspor vs. Trabzonspor - Saturday December 11 - 2021,Trabzonspor,easy,4-2-3-1,CAKIR;TOKOZ;IE;HUGO;PERES;OZDEMIR;HAMSIK;DJANINY;BAKASETAS;NWAKAEME;CORNELIUS
Istanbulspor vs. Kasimpasa - Sunday March 10 - 2024,Istanbulspor,hard,3-4-3,ARDA;ERDOGAN;VOROBJOVAS;DELI;DUHANEY;LOSHAJ;OZTURK;SAMBISSA;MENDY;JACKSON;GEDIKLI
Istanbulspor vs. Kasimpasa - Sunday March 10 - 2024,Kasimpasa,hard,4-1-4-1,GIANNIOTIS;WINCK;OMERUO;OZCAN;OUANNES;GUL;FALL;HAJRADINOVIC;KARA;ROCHINHA;COSTA
Galatasaray vs. Hatayspor - Friday January 13 - 2023,Galatasaray,easy,4-2-3-1,MUSLERA;BOEY;NELSSON;BARDAKCI;DUBOIS;TORREIRA;OLIVEIRA;YILMAZ;MATA;AKTURKOGLU;ICARDI
Galatasaray vs. Hatayspor - Friday January 13 - 2023,Hatayspor,hard,4-2-3-1,KARDESLER;COREKCI;VRANJES;YILMAZ;ADEKUGBE;BOUDJEMAA;AABID;KAABI;RIBEIRO;LOBZHANIDZE;YILDIRIM
Hatayspor vs. Kayserispor - Friday September 16 - 2022,Hatayspor,hard,4-3-3,KARDESLER;BAS;YILMAZ;OKSUZ;ADEKUGBE;BOUDJEMAA;RIBEIRO;ERGUN;LOBZHANIDZE;KAABI;SAINT-LOUIS
Hatayspor vs. Kayserispor - Friday September 16 - 2022,Kayserispor,hard,4-5-1,BAYAZIT;BULUT;KOLOVETSIOS;KOCAMAN;CAROLE;CIVELEK;MENSAH;CARDOSO;CAMPANHARO;THIAM;PARLAK
Hatayspor vs. Gaziantep FK - Saturday August 20 - 2022,Hatayspor,hard,4-3-3,KARDESLER;COREKCI;VRANJES;FALETTE;ADEKUGBE;CAGIRAN;RIBEIRO;AABID;LOBZHANIDZE;KAABI;SAINT-LOUIS
Hatayspor vs. Gaziantep FK - Saturday August 20 - 2022,Gaziantep FK,hard,4-1-4-1,GUVENC;KITSIOU;ERSOY;DJILOBODJI;HANOUSEK;JEVTOVIC;MARKOVIC;SOYALP;MAXIM;ESKIHELLAC;FIGUEIREDO
Konyaspor vs. Galatasaray - Friday March 17 - 2023,Konyaspor,hard,4-2-3-1,SEHIC;OGUZ;DEMIRBAG;CALVO;SITYA;DIKMEN;BOUCHALAKIS;MADATOV;POZUELO;MORENO;DEMIR
Konyaspor vs. Galatasaray - Friday March 17 - 2023,Galatasaray,easy,4-2-3-1,MUSLERA;BOEY;AYHAN;BARDAKCI;DUBOIS;KUTLU;OLIVEIRA;YILMAZ;RASHICA;AKTURKOGLU;ICARDI
Alanyaspor vs. Hatayspor - Thursday January 20 - 2022,Alanyaspor,hard,4-1-4-1,MARAFONA;JUANFRAN;BAYIR;AKSOY;BORJA;NOVAIS;KARACA;AKBABA;BEKIROGLU;PEREIRA;EDUARDO
Alanyaspor vs. Hatayspor - Thursday January 20 - 2022,Hatayspor,hard,4-4-2,YIGITER;COREKCI;KURUCUK;OKSUZ;ADEKUGBE;LOBZHANIDZE;ERGUN;RIBEIRO;KAMARA;SAINT-LOUIS;DIOUF
Trabzonspor vs. Rizespor - Saturday August 26 - 2023,Trabzonspor,easy,4-1-4-1,CAKIR;LARSEN;BANIYA;BENKOVIC;ELMALI;KOURMPELIS;TEKLIC;BARDHI;BAKASETAS;VISCA;BOZOK
Trabzonspor vs. Rizespor - Saturday August 26 - 2023,Rizespor,hard,4-2-3-1,AKKAN;SAHIN;MOCSI;TOPCU;PEHLIVAN;PALA;OLAWOYIN;SAUER;VARESANOVIC;ZEQIRI;KESER
Istanbulspor vs. Galatasaray - Tuesday May 16 - 2023,Istanbulspor,hard,4-3-2-1,JENSEN;DUHANEY;ERDOGAN;YESIL;AKSU;ERGUN;BA;ETHEMI;RROCA;SARIKAYA;EZE
Istanbulspor vs. Galatasaray - Tuesday May 16 - 2023,Galatasaray,easy,4-2-3-1,MUSLERA;DUBOIS;NELSSON;BARDAKCI;KARATAS;TORREIRA;OLIVEIRA;RASHICA;MERTENS;AKTURKOGLU;ICARDI
Rizespor vs. Istanbul Basaksehir - Friday February 18 - 2022,Rizespor,hard,4-2-3-1,CETIN;GONUL;HOLMEN;PONCK;SERTEL;BAIANO;SABO;BOLDRIN;FERNANDES;SARI;POHJANPALO
Rizespor vs. Istanbul Basaksehir - Friday February 18 - 2022,Basaksehir,easy,4-1-4-1,BABACAN;CAICARA;DUARTE;NDAYISHIMIYE;KALDIRIM;CIGERCI;GURLER;PIZZI;OZCAN;TREZEGUET;OKAKA
Gaziantep FK vs. Alanyaspor - Tuesday April 2 - 2024,Gaziantep FK,hard,4-1-4-1,NITA;ERSOY;NKOULOU;DJILOBODJI;ESKIHELLAC;OZCICEK;SORESCU;MONTEIRO;MAXIM;MARKOVIC;DRAGUS
Gaziantep FK vs. Alanyaspor - Tuesday April 2 - 2024,Alanyaspor,hard,4-2-3-1,TASKIRAN;HADERGJONAJ;BAYIR;ALITI;BALKOVEC;RICHARD;FER;AYDIN;KARACA;OZDEMIR;KOKA
Kayserispor vs. Konyaspor - Saturday May 18 - 2024,Kayserispor,hard,4-2-3-1,PIRI;SAZDAGI;JEANVIER;KOLOVETSIOS;CAROLE;BOURABIA;YILMAZ;MORTE;CARDOSO;MANE;NAZON
Kayserispor vs. Konyaspor - Saturday May 18 - 2024,Konyaspor,hard,4-2-3-1,SLOWIK;YAZGILI;DEMIRBAG;HADEBE;SITYA;NZONZI;DIKMEN;NDAO;ULGUN;ETHEMI;CIKALLESHI
Istanbul Basaksehir vs. Fenerbahce - Sunday September 19 - 2021,Basaksehir,easy,4-1-4-1,BABACAN;OZBAYRAKLI;NDAYISHIMIYE;DUARTE;LIMA;CIGERCI;VISCA;TEKDEMIR;ALEKSIC;TURUC;OKAKA
Istanbul Basaksehir vs. Fenerbahce - Sunday September 19 - 2021,Fenerbahce,easy,3-4-3,BAYINDIR;AZIZ;MIN-JAE;SZALAI;OSAYI-SAMUEL;MEYER;GUSTAVO;KADIOGLU;GUMUSKAYA;PELKAS;BERISHA
Giresunspor vs. Altay - Friday December 17 - 2021,Giresunspor,hard,4-2-3-1,KOCUK;BILAZER;DIARRA;PEREZ;BEHICH;TRAORE;PELUPESSY;SULEYMANOV;DIABATE;JUNIOR;BALDE
Giresunspor vs. Altay - Friday December 17 - 2021,Altay,hard,5-4-1,LIS;KARAYEL;THIAM;OZTURK;AKCA;NADERI;ERDOGAN;POKO;PINARES;RODRIGUEZ;RAYAN
Konyaspor vs. Istanbulspor - Thursday February 2 - 2023,Konyaspor,hard,4-2-3-1,SEHIC;OGUZ;DEMIRBAG;CALVO;SITYA;DIKMEN;PAZ;MURIC;CEKICI;MICHALAK;DIOUF
Konyaspor vs. Istanbulspor - Thursday February 2 - 2023,Istanbulspor,hard,4-1-4-1,JENSEN;DUHANEY;ERDOGAN;YESIL;AKSU;BA;LOKILO;SARIKAYA;RROCA;ETHEMI;EZE
