game,team,difficulty,formation,lineup,lineup_numbers,lineup_goals,lineup_assists,lineup_cards,lineup_substitutions,source_match_id
Kocaelispor vs. Fenerbahce - Friday August 11 - 2000,Kocaelispor,hard,4-4-2,MERT;COLAK;AK;MIRKOVIC;ARSLANER;SAHIN;ABDELAZIZ;AHMED HASSAN;OZTONGA;DABROWSKI;TOPRAKTEPE,1;5;8;2;13;26;15;17;3;7;41,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;1;0;0;0;0,0;0;0;1;1;0;0;0;0;1;0,951672
Besiktas vs. Yimpas Yozgatspor - Saturday August 12 - 2000,Yimpas Yozgatspor,hard,4-4-2,TOKGOZ;MVUEZOLO;ARSLAN;OZER;KAYA;KARACA;HINCAL;DASGUN;DUMAN;PREKO;KOCABEY,99;14;4;16;34;18;7;53;6;22;10,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;1;1;0;0;0;0;0;0;0;0,0;0;0;0;1;0;0;1;0;0;1,951673
Bursaspor vs. Gaziantepspor - Saturday August 12 - 2000,Bursaspor,hard,3-5-2,ZIEGLER;OZBEY;ER;SPANRING;DAMLA;LUPESCU;GONDEN;SEVEN;ALKAN;SOZKESEN;YILMAZ,1;6;2;4;3;5;7;8;20;9;11,0;0;0;0;0;1;1;0;0;0;1,0;0;0;0;0;0;0;0;0;1;0,0;1;0;0;1;0;1;0;0;0;0,0;0;1;0;1;0;0;1;0;0;0,951675
Bursaspor vs. Gaziantepspor - Saturday August 12 - 2000,Gaziantepspor,hard,3-5-2,CATKIC;POLAT;KORKMAZ;TUNC;ALBAYRAK;BAYRAKTAR;SAHINTURK;BATISTA;YIGIT;OZER;TEKKE,1;4;3;77;11;44;99;8;27;9;61,0;0;0;0;0;0;0;0;0;1;1,0;0;0;0;0;0;0;0;0;0;0,0;0;0;1;0;0;0;1;0;0;0,0;0;0;0;0;1;1;0;0;1;0,951675
Erzurumspor vs. Trabzonspor - Saturday August 12 - 2000,Erzurumspor,hard,3-5-2,KORAC;ERDOGAN;BAKHTIARIZADEH;VURAL;NELIKER;DEMIR;RZAYEV;YUCETAS;BEYAZ;LOBE;KOVACEVIC,1;4;6;5;26;25;18;7;20;10;19,0;0;0;0;0;0;0;0;0;1;0,0;0;0;0;0;1;0;0;0;0;0,0;0;1;0;0;0;0;1;0;0;0,0;0;0;0;1;0;0;0;1;0;0,951676
Genclerbirligi vs. Rizespor - Saturday August 12 - 2000,Genclerbirligi,hard,4-4-2,NYS;GULDUREN;DOGANTEZ;TOPRAKTEPE;OZAT;SOUZA;ZDEBEL;BASTURK;PHIRI;KONA;KARAN,1;3;23;34;5;6;8;10;2;11;9,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;1;0;0;0;0;0;0;0;0,0;0;0;1;0;1;0;0;0;1;0,951674
Genclerbirligi vs. Rizespor - Saturday August 12 - 2000,Rizespor,hard,3-5-2,HAMIDOU;DUYMUS;DIENG;ASIL;BILGE;AVCI;SEZER;AYHAN;NAS;YILMAZ;TETTEH,1;5;14;6;33;77;20;8;17;10;35,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;2;0;0;0;0,0;0;0;0;0;1;0;0;0;1;1,951674
Denizlispor vs. Galatasaray - Sunday August 13 - 2000,Denizlispor,hard,3-5-2,KUCUK;EL SAKA;BADRA;SONMEZ;GORGEC;KARTOP;KAFKAS;BICICI;TANDOGAN;BIRDAL;BILAZER,1;4;5;34;8;6;19;10;22;11;25,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;1;0;0;0;0,0;0;0;0;0;1;0;1;0;0;1,951680
Istanbulspor vs. Adanaspor - Sunday August 13 - 2000,Adanaspor,hard,3-5-2,SCHEUER;KIRILOV;KOSE;YANYALI;TOPCU;OZTURK;ARSLAN;YORUK;SANCARBARLAS;BALKAYA;ISLER,1;99;53;4;11;7;8;20;12;9;55,0;0;0;0;0;0;0;0;0;0;5,0;0;0;0;1;1;0;0;0;1;1,0;1;0;0;0;0;1;0;0;0;0,0;0;0;0;0;1;1;0;1;0;0,951677
Istanbulspor vs. Adanaspor - Sunday August 13 - 2000,Istanbulspor,hard,3-5-2,GUNGOR;GUR;TICE;MOURA;PETKOV;BURUK;UCUNCU;OZDEMIR;CETIN;BUSHI;YAVAS,61;17;49;4;6;5;10;76;54;8;9,0;0;0;0;0;1;0;1;0;0;0,0;0;0;0;0;0;0;0;0;1;0,0;0;0;0;0;0;0;1;1;0;1,0;0;0;1;0;0;0;0;0;0;0,951677
